protein_accessions	count	number_accessions_group
['GCA_125572']	2	1
['GCA_86311']	2	1
['GCA_305161']	2	1
['GCA_42049', 'GCA_290085', 'GCA_186219']	2	3
['GCA_170423']	2	1
['GCA_137397']	2	1
['GCA_35772']	2	1
['GCA_218114', 'GCA_162583']	2	2
['GCA_165275']	2	1
['GCA_284412']	2	1
['GCA_7585']	2	1
['GCA_268934']	2	1
['GCA_148483']	2	1
['GCA_286890']	2	1
['GCA_171422']	2	1
['GCA_142726']	2	1
['GCA_146163']	2	1
['GCA_15631']	2	1
['GCA_161777']	2	1
['GCA_99047']	2	1
['GCA_218290']	2	1
['GCA_5203', 'GCA_5200', 'GCA_102667', 'GCA_102666']	2	4
['GCA_222426']	2	1
['GCA_300212']	2	1
['GCA_265304']	2	1
['GCA_94225']	2	1
['GCA_137727']	2	1
['GCA_226990', 'GCA_139187']	2	2
['GCA_124875']	2	1
['GCA_139492']	2	1
['GCA_147061']	2	1
['GCA_130984']	2	1
['GCA_197829']	2	1
['GCA_200630']	2	1
['GCA_141567', 'GCA_141566']	2	2
['GCA_47995']	2	1
['GCA_1352']	2	1
['GCA_70166']	2	1
['GCA_124731']	2	1
['GCA_93379', 'GCA_210517', 'GCA_128353']	2	3
['GCA_180606']	2	1
['GCA_269212']	2	1
['GCA_101311']	2	1
['GCA_239996', 'GCA_101460']	2	2
['GCA_304161']	2	1
['GCA_152016', 'GCA_152010']	2	2
['GCA_275216']	2	1
['GCA_303501']	2	1
['GCA_60680']	2	1
['GCA_306565']	2	1
['GCA_214695']	2	1
['GCA_220830']	2	1
['GCA_93831']	2	1
['GCA_184010']	2	1
['GCA_111410']	2	1
['GCA_255898', 'GCA_240806', 'GCA_105009']	2	3
['GCA_127189']	2	1
['GCA_226762']	2	1
['GCA_140986']	2	1
['GCA_203994']	2	1
['GCA_151153']	2	1
['GCA_113287']	2	1
['GCA_130772']	2	1
['GCA_258567']	2	1
['GCA_225898']	2	1
['GCA_140807', 'GCA_140806']	2	2
['GCA_108053']	2	1
['GCA_104873']	2	1
['GCA_207926', 'GCA_165068']	2	2
['GCA_206020']	2	1
['GCA_252126']	2	1
['GCA_301367']	2	1
['GCA_130591']	2	1
['GCA_157007']	2	1
['GCA_136303']	2	1
['GCA_292106']	2	1
['GCA_162250']	2	1
['GCA_136216']	2	1
['GCA_97387']	2	1
['GCA_112045']	2	1
['GCA_37235', 'GCA_37233']	2	2
['GCA_14463']	2	1
['GCA_86579']	2	1
['GCA_97331']	2	1
['GCA_316587']	2	1
['GCA_149563']	2	1
['GCA_259931']	2	1
['GCA_230457']	2	1
['GCA_242081']	2	1
['GCA_163988']	2	1
['GCA_131216']	2	1
['GCA_316314', 'GCA_195324', 'GCA_170773', 'GCA_108249']	2	4
['GCA_90501', 'GCA_158325']	2	2
['GCA_234362']	2	1
['GCA_181494', 'GCA_142010']	2	2
['GCA_156406']	2	1
['GCA_138015']	2	1
['GCA_224600', 'GCA_20197', 'GCA_181203', 'GCA_146707']	2	4
['GCA_100647']	2	1
['GCA_124431']	2	1
['GCA_303252']	2	1
['GCA_258376']	2	1
['GCA_95129', 'GCA_272300', 'GCA_253522']	2	3
['GCA_196584', 'GCA_196583']	2	2
['GCA_219065']	2	1
['GCA_153918']	2	1
['GCA_141846']	2	1
['GCA_152604']	2	1
['GCA_183426']	2	1
['GCA_89419']	2	1
['GCA_242500']	2	1
['GCA_135402']	2	1
['GCA_211243']	2	1
['GCA_5438']	2	1
['GCA_112486']	2	1
['GCA_161833']	2	1
['GCA_170285', 'GCA_108025']	2	2
['GCA_146740']	2	1
['GCA_95707']	2	1
['GCA_94965']	2	1
['GCA_103009', 'GCA_103007']	2	2
['GCA_107844']	2	1
['GCA_31939']	2	1
['GCA_266758', 'GCA_14377']	2	2
['GCA_116932']	2	1
